问题,意图分类,标签真值,提取的实体
医用DR设备都有哪些品牌？,商品数据,商品数据,"['医用DR设备', ' 品牌']"
动态三维脊柱姿态测量分析装置北京的供应商有哪些品牌？,日常问题,商品数据,"['北京', ' 脊柱姿态测量分析装置', ' 品牌']"
医院住院大楼生活热水系统改造有哪些品牌？,商品数据,商品数据,"['医院', '住院大楼', '生活热水系统', '改造', '品牌']"
UPS改造设备的供应商地址在哪里？,日常问题,商品数据,"['UPSM 改造 设备', ' UPS 改造 设备 的 供应商 地址']"
步态训练跑台的价格范围是多少？,商品数据,商品数据,"['价格', '范围', '步态训练跑台', '售价', '价格']"
移动式摄影X线机的供应商省份有哪些？,商品数据,商品数据,"['移动式摄影', 'X线机', '供应商省份', '省']"
互联网医院信息化建设的供应商城市有哪些？,日常问题,商品数据,"['互联网医院', '信息化建设', '供应商', '城市']"
医院彩色超声诊断仪的供应商地址是什么？,商品数据,商品数据,"['医院', ' 彩色超声诊断仪', ' 供应商', ' 地址']"
肿瘤医院冷冻治疗设备有哪些型号？,商品数据,商品数据,"['肿瘤医院', ' 冷冻治疗设备', ' 型号']"
流式细胞仪的供应商省份是哪里？,商品数据,商品数据,"['流式细胞仪', ' 省份', ' 上海', ' 广东', ' 北京']"
医用织物洗涤服务的供应商地址在哪里？,日常问题,商品数据,"['医用织物洗涤服务', ' 供应商地址', ' 供应商']"
残疾人健康服务平台的供应商省份有哪些？,日常问题,商品数据,"['残疾人健康服务平台', ' 供应商省份', ' 省份']"
裸眼康复辅具展示系统的供应商城市是哪里？,商品数据,商品数据,['裸眼，康复辅具，展示系统，供应商，城市']
医院离心式冷水机的供应商省份有哪些？,日常问题,商品数据,"['医院', ' 离心式冷水机', ' 供应商', ' 省份']"
口腔锥形束CT的供应商地址是什么？,日常问题,商品数据,"['口腔锥形束CT', ' 供应商', ' 地址']"
UPS应急电源的供应商城市有哪些？,商品数据,商品数据,['UPSSupplierCity']
民医院远程诊断服务的供应商地址在哪里？,日常问题,商品数据,"['民医院', ' 远程诊断服务', ' 供应商', ' 地址']"
上海疾控应急作业平台建设的供应商省份是哪里？,商品数据,商品数据,"['上海市', ' 疾控', ' 应急', ' 作业', ' 平台', ' 建设', ' 供应商', ' 省份']"
上肢康复系统的供应商地址是什么？,日常问题,商品数据,"['上肢康复系统', ' 系统', ' 供应', ' 地址', ' 供应商']"
肌肉关节智能运动康复评估训练系统有哪些品牌？,商品数据,商品数据,"['肌肉关节', ' 智能运动康复评估训练系统', ' 品牌']"
智能矫正与经颅磁辅助治疗机器人的供应商城市有哪些？,商品数据,商品数据,"['智能矫正', ' 经颅磁辅助治疗机器人', ' 供应商城市']"
被服租赁、洗涤的供应商省份有哪些？,商品数据,商品数据,"['被服租赁', '洗涤', '供应商省份', ' 省份']"
医用家具的供应商地址在哪里？,日常问题,商品数据,"['医用家具', ' 供应商地址']"
医院医疗设备有哪些品牌？,商品数据,商品数据,"['医院', '医疗设备', '品牌']"
脉冲染料激光治疗仪的供应商省份是哪里？,商品数据,商品数据,"['脉冲染料激光治疗仪', ' 省份', ' 是', ' 供应商', ' 地址']"
病毒测序试剂的供应商城市有哪些？,日常问题,商品数据,"['病毒测序试剂', ' 供应商城市', ' 城市']"
污水新冠病毒监测与变异株检测试剂耗材的供应商地址是什么？,日常问题,商品数据,['污水，新冠病毒监测，试剂，耗材，供应商地址']
放射治疗计划系统的供应商省份有哪些？,商品数据,商品数据,"['放射治疗计划系统', ' 系统', ' 市场供应', ' 供应商省份', ' 省份']"
全自动发药机的供应商地址在哪里？,日常问题,商品数据,"['全自动发药机', ' 供应商地址', ' 上海']"
医疗设备维修维保外包的供应商城市有哪些？,商品数据,商品数据,"['医疗设备', ' 维修维保外包', ' 供应商城市', ' 城市']"
