问题,提取的实体
医用DR设备都有哪些品牌？,"['医用DR', '设备']"
动态三维脊柱姿态测量分析装置北京的供应商有哪些品牌？,['北京，供应商，品牌']
医院住院大楼生活热水系统改造有哪些品牌？,['医院，生活热水系统']
UPS改造设备的供应商地址在哪里？,"['UPS', '供应商', '地址']"
步态训练跑台的价格范围是多少？,['跑台']
移动式摄影X线机的供应商省份有哪些？,"[""'省份'""]"
互联网医院信息化建设的供应商城市有哪些？,['城市']
医院彩色超声诊断仪的供应商地址是什么？,"['医院', '彩色超声诊断仪', '供应商', '地址']"
肿瘤医院冷冻治疗设备有哪些型号？,"['肿瘤医院', '冷冻治疗设备']"
流式细胞仪的供应商省份是哪里？,['省份']
医用织物洗涤服务的供应商地址在哪里？,['供应商地址']
残疾人健康服务平台的供应商省份有哪些？,['省份']
裸眼康复辅具展示系统的供应商城市是哪里？,['城市']
医院离心式冷水机的供应商省份有哪些？,['省份']
口腔锥形束CT的供应商地址是什么？,['供应商，地址']
UPS应急电源的供应商城市有哪些？,['城市']
民医院远程诊断服务的供应商地址在哪里？,"['民医院', '远程诊断服务', '供应商', '地址']"
上海疾控应急作业平台建设的供应商省份是哪里？,['上海，省份']
上肢康复系统的供应商地址是什么？,['供应商']
肌肉关节智能运动康复评估训练系统有哪些品牌？,"['肌肉关节', '智能运动康复评估训练系统', '品牌']"
智能矫正与经颅磁辅助治疗机器人的供应商城市有哪些？,"[""'供应商城市'""]"
被服租赁、洗涤的供应商省份有哪些？,['省份']
医用家具的供应商地址在哪里？,['供应商']
医院医疗设备有哪些品牌？,['医院，医疗设备，品牌']
脉冲染料激光治疗仪的供应商省份是哪里？,['省份']
病毒测序试剂的供应商城市有哪些？,['城市']
污水新冠病毒监测与变异株检测试剂耗材的供应商地址是什么？,['供应商地址']
放射治疗计划系统的供应商省份有哪些？,['省份']
全自动发药机的供应商地址在哪里？,['供应商，地址']
医疗设备维修维保外包的供应商城市有哪些？,['城市']
电子内窥镜主机系统（含一根电子治疗结肠镜）的供应商省份是哪里？,['省份']
低强度脉冲式超声波治疗仪的供应商城市有哪些？,['城市']
学生智能体质体检健康测试设备的供应商地址是什么？,['供应商，地址']
医院X射线计算机体层摄影设备的供应商省份有哪些？,['X射线计算机体层摄影设备，供应商省份']
医院远程探视和远程会诊系统的供应商地址在哪里？,['阿里巴巴云']
无轨迹等张肌力测试康复训练系统的供应商品牌有哪些？,['等张肌力测试，康复训练系统，供应商品牌']
无轨迹等张肌力测试康复训练系统的价格范围是多少？,['等张肌力测试，价格范围']
无轨迹等张肌力测试康复训练系统的供应商地址在哪里？,['地址']
医院X射线计算机体层摄影设备的品牌有哪些？,['X射线计算机体层摄影设备']
医院X射线计算机体层摄影设备的型号有哪些？,['医院X射线计算机体层摄影设备']
气相色谱分析仪的品牌有哪些？,['气相色谱分析仪，品牌']
医院X射线计算机体层摄影设备的供应商省份有哪些？,['省份']
太平洋安信农业保险股份有限公司上海分公司中标了哪些保险项目？,['太平洋安信农业保险股份有限公司上海分公司']
上海市青浦区朱家角人民医院是否承担了残疾人健康体检项目？,"['上海市', '青浦区', '朱家角人民医院', '残疾人健康体检项目']"
《电子招标投标办法》的发布时间是什么？,"[""'《电子招标投标办法》'""]"
《工程建设项目货物招标投标办法》的发布时间是什么？,"[""'《工程建设项目货物招标投标办法》，发布时间'""]"
《工程建设项目施工招标投标办法》的发布时间是什么？,"[""'《工程建设项目施工招标投标办法》'""]"
《财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知》的发布时间是什么？,['财政部，《政府采购竞争性磋商采购方式管理暂行办法》']
《金融企业国有资产转让管理办法》的发布时间是什么？,"[""'《金融企业国有资产转让管理办法》，发布时间'""]"
《财政部关于印发《政务信息系统政府采购管理暂行办法》的通知》的发布时间是什么？,['财政部，《政务信息系统政府采购管理暂行办法》，财政部，《通知》']
《民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知》的发布时间是什么？,"[""'民航局机场司"", '民航专业工程建设项目招标投标管理办法', ""通知'""]"
《财政部关于印发《中央行政事业单位国有资产配置管理办法》的通知》的发布时间是什么？,['财政部，《中央行政事业单位国有资产配置管理办法》']
《房屋建筑和市政基础设施工程施工招标投标管理办法》的发布时间是什么？,"[""'《房屋建筑和市政基础设施工程施工招标投标管理办法》'""]"
《财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知》的发布时间是什么？,['财政部，通知']
《财政部关于在政府采购活动中查询及使用信用记录有关问题的通知》的发布时间是什么？,['财政部，通知']
《港口工程建设管理规定》的发布时间是什么？,"[""''""]"
《财政部关于做好政府采购信息公开工作的通知》的来源是什么？,['财政部，通知']
《拍卖管理办法》的发布时间是什么？,"[""'《拍卖管理办法》'""]"
《机动车拍卖规程》的发布时间是什么？,"[""''""]"
《建筑工程设计招标投标管理办法》的发布时间是什么？,"[""'《建筑工程设计招标投标管理办法》'""]"
《财政部关于印发《政府采购进口产品管理办法》的通知》的发布时间是什么？,['财政部，《政府采购进口产品管理办法》']
《工程建设项目招标投标活动投诉处理办法》的发布时间是什么？,"[""'《工程建设项目招标投标活动投诉处理办法》'""]"
《财政部关于印发《金融企业非上市国有产权交易规则》的通知》的发布时间是什么？,['财政部，《金融企业非上市国有产权交易规则》，通知']
