问题,提取的实体,问题分类,意图分类
医用DR设备都有哪些品牌？,['医用DR设备，品牌'],商品数据,商品数据
动态三维脊柱姿态测量分析装置北京的供应商有哪些品牌？,['动态三维脊柱姿态测量分析装置，北京，供应商，品牌'],商品数据,商品数据
医院住院大楼生活热水系统改造有哪些品牌？,['医院住院大楼生活热水系统，品牌'],商品数据,商品数据
UPS改造设备的供应商地址在哪里？,['UPS改造设备，供应商地址'],商品数据,商品数据
步态训练跑台的价格范围是多少？,['步态训练跑台，价格范围'],商品数据,商品数据
移动式摄影X线机的供应商省份有哪些？,['移动式摄影X线机，供应商省份'],商品数据,商品数据
互联网医院信息化建设的供应商城市有哪些？,['互联网医院信息化建设，供应商城市'],商品数据,商品数据
医院彩色超声诊断仪的供应商地址是什么？,['医院彩色超声诊断仪，供应商地址'],商品数据,商品数据
肿瘤医院冷冻治疗设备有哪些型号？,['肿瘤医院，冷冻治疗设备，型号'],商品数据,商品数据
流式细胞仪的供应商省份是哪里？,['流式细胞仪，供应商，省份'],商品数据,商品数据
医用织物洗涤服务的供应商地址在哪里？,['医用织物洗涤服务，供应商地址'],商品数据,商品数据
残疾人健康服务平台的供应商省份有哪些？,['残疾人健康服务平台，供应商省份'],商品数据,商品数据
裸眼康复辅具展示系统的供应商城市是哪里？,['裸眼康复辅具展示系统，供应商城市'],商品数据,商品数据
医院离心式冷水机的供应商省份有哪些？,['医院离心式冷水机，供应商省份'],商品数据,商品数据
口腔锥形束CT的供应商地址是什么？,['口腔锥形束CT，供应商地址'],商品数据,商品数据
UPS应急电源的供应商城市有哪些？,['UPS应急电源，供应商城市'],商品数据,商品数据
民医院远程诊断服务的供应商地址在哪里？,['民医院，远程诊断服务，供应商地址'],商品数据,商品数据
上海疾控应急作业平台建设的供应商省份是哪里？,['上海疾控应急作业平台，供应商省份'],商品数据,商品数据
上肢康复系统的供应商地址是什么？,['上肢康复系统，供应商地址'],商品数据,商品数据
肌肉关节智能运动康复评估训练系统有哪些品牌？,['肌肉关节智能运动康复评估训练系统，品牌'],商品数据,商品数据
智能矫正与经颅磁辅助治疗机器人的供应商城市有哪些？,['智能矫正与经颅磁辅助治疗机器人，供应商城市'],商品数据,商品数据
被服租赁、洗涤的供应商省份有哪些？,['被服租赁，供应商省份'],商品数据,商品数据
医用家具的供应商地址在哪里？,['医用家具，供应商地址'],商品数据,商品数据
医院医疗设备有哪些品牌？,['医院，医疗设备，品牌'],商品数据,商品数据
脉冲染料激光治疗仪的供应商省份是哪里？,['脉冲染料激光治疗仪，供应商省份'],商品数据,商品数据
病毒测序试剂的供应商城市有哪些？,['病毒测序试剂，供应商城市'],商品数据,商品数据
污水新冠病毒监测与变异株检测试剂耗材的供应商地址是什么？,['污水新冠病毒监测与变异株检测试剂耗材，供应商地址'],商品数据,商品数据
