Question,True_Title,Recalling,Recall_Weight
意向受让方在登记受让意向时需要满足哪些条件？,?【产权交易】上海联合产权交易所有限公司物权交易操作指引(沪联产交〔2020〕26号),0,
转让公告的发布期限是如何计算的？,?【产权交易】上海联合产权交易所有限公司物权交易操作指引(沪联产交〔2020〕26号),0,
物权转让公告的发布期限是如何规定的？,?【产权交易】上海联合产权交易所有限公司物权交易操作指引(沪联产交〔2020〕26号),0,
联交所工作人员违反诚信或收受贿赂会受到哪些处罚？,【产权交易】上海联合产权交易所交易业务总规程（沪联产交〔2017〕23号）,1,1
在什么情况下，联交所可以直接中止或终结产权交易？,【产权交易】上海联合产权交易所交易业务总规程（沪联产交〔2017〕23号）,1,4
对于需要内部讨论的业务咨询问题，应如何处理和回复？,【产权交易】上海联合产权交易所有限公司业务咨询接待服务规定（沪联产交〔2019〕49号）,1,1
业务部门如何处理和利用“业务咨询接待登记表”？,【产权交易】上海联合产权交易所有限公司业务咨询接待服务规定（沪联产交〔2019〕49号）,1,1
业务咨询专线电话由哪个部门负责接听和登记？,【产权交易】上海联合产权交易所有限公司业务咨询接待服务规定（沪联产交〔2019〕49号）,1,1
联交所收到中止申请后，多久内会作出决定？,【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）,1,1
转让方未履行内部决策程序或职工安置方案审议程序，是否会导致产权交易被中止？,【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）,1,2
提交产权交易中止申请时，需要提供哪些材料？,【产权交易】上海联合产权交易所有限公司交易中止和终结操作细则（沪联产交〔2018〕50号）,1,1
在产权交易争议调解过程中，如果争议各方未能达成一致意见，调解会如何处理？,【产权交易】上海联合产权交易所有限公司产权交易争议调解操作细则（沪联产交〔2018〕51号）,1,1
联交所在收到产权交易争议调解申请书后，多久会作出受理或不予受理的决定？,【产权交易】上海联合产权交易所有限公司产权交易争议调解操作细则（沪联产交〔2018〕51号）,1,1
在产权交易争议中，申请人如何申请联交所进行调解？,【产权交易】上海联合产权交易所有限公司产权交易争议调解操作细则（沪联产交〔2018〕51号）,1,1
在什么情况下，联交所会将交易保证金原额返还给交纳主体？,【产权交易】上海联合产权交易所有限公司产权交易保证金操作细则(沪联产交〔2020〕29号),1,1
如果意向受让方未在规定期限内足额交纳交易保证金，会有什么后果？,【产权交易】上海联合产权交易所有限公司产权交易保证金操作细则(沪联产交〔2020〕29号),1,1
如果交易保证金以外汇交纳，应如何进行折算？,【产权交易】上海联合产权交易所有限公司产权交易保证金操作细则(沪联产交〔2020〕29号),1,1
在规定的报价时间段内，竞买人可以提交多少次有效报价？,【产权交易】上海联合产权交易所有限公司产权转让开放式报价操作细则（试行）（沪联产交〔2019〕69号）,1,1
竞买人获得报价资格后，如何进行报价？,【产权交易】上海联合产权交易所有限公司产权转让开放式报价操作细则（试行）（沪联产交〔2019〕69号）,1,1
在开放式报价过程中，竞买人能否在报价期内多次提交报价？,【产权交易】上海联合产权交易所有限公司产权转让开放式报价操作细则（试行）（沪联产交〔2019〕69号）,1,1
如果我在拍卖中未能成交，我的交易保证金什么时候能退还？,【产权交易】上海联合产权交易所有限公司产权转让拍卖实施办法（沪联产交〔2018〕48号）,1,3
拍卖成交后，我需要做哪些后续手续？,【产权交易】上海联合产权交易所有限公司产权转让拍卖实施办法（沪联产交〔2018〕48号）,1,1
在产权转让招投标中，哪些主体可以被称为投标人？,【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）,1,1
什么是一次报价方式，其确定受让方的标准是什么？,【产权交易】上海联合产权交易所有限公司产权转让网络竞价实施办法（沪联产交〔2018〕47号）,1,2
法定优先购买权权利人如何确定最终的行权价格？,【产权交易】上海联合产权交易所有限公司产权转让网络竞价实施办法（沪联产交〔2018〕47号）,1,6
如果多个竞买人报价相同，如何确定最高报价方？,【产权交易】上海联合产权交易所有限公司产权转让网络竞价实施办法（沪联产交〔2018〕47号）,1,2
如果产权转让涉及多项审批，联交所在什么条件下才能出具产权交易凭证？,【产权交易】上海联合产权交易所有限公司企业国有产权转让出具交易凭证操作细则（沪联产交〔2018〕45号）,1,1
联交所出具产权交易凭证后，如何进行交易结果的公告？,【产权交易】上海联合产权交易所有限公司企业国有产权转让出具交易凭证操作细则（沪联产交〔2018〕45号）,1,1
在什么情况下，联交所会撤销已出具的产权交易凭证？,【产权交易】上海联合产权交易所有限公司企业国有产权转让出具交易凭证操作细则（沪联产交〔2018〕45号）,1,1
在《信息披露公告》中，转让方需要明确哪些主要交易条件？,【产权交易】上海联合产权交易所有限公司企业国有产权转让受理转让申请操作细则（沪联产交〔2020〕46号）,1,3
联交所对受理的企业国有产权转让信息披露申请材料审核的时限是多久？,【产权交易】上海联合产权交易所有限公司企业国有产权转让受理转让申请操作细则（沪联产交〔2020〕46号）,1,1
在信息披露过程中，如果出现影响交易正常进行的情形，联交所如何处理？,【产权交易】上海联合产权交易所有限公司企业国有产权转让披露信息操作细则（沪联产交〔2018〕41号）,1,1
转让项目首次正式披露信息后，若超过12个月仍未征集到合格受让方，需要重新进行哪些工作？,【产权交易】上海联合产权交易所有限公司企业国有产权转让披露信息操作细则（沪联产交〔2018〕41号）,1,6
企业国有产权转让时，预披露和正式披露的公告期限分别是多少天？,【产权交易】上海联合产权交易所有限公司企业国有产权转让披露信息操作细则（沪联产交〔2018〕41号）,1,1
未获得资格确认的意向受让方如何提出异议？提出异议会影响交易项目的进行吗？,【产权交易】上海联合产权交易所有限公司企业国有产权转让登记受让意向操作细则（沪联产交〔2020〕45号),1,2
联交所在什么时间内会向转让方反馈意向受让方的资格情况？,【产权交易】上海联合产权交易所有限公司企业国有产权转让登记受让意向操作细则（沪联产交〔2020〕45号),1,2
多个意向受让方能否组成联合体参与受让？如果可以，需满足哪些条件？,【产权交易】上海联合产权交易所有限公司企业国有产权转让登记受让意向操作细则（沪联产交〔2020〕45号),1,1
联交所审核《产权交易合同》的依据和内容是什么？,【产权交易】上海联合产权交易所有限公司企业国有产权转让组织交易签约操作细则（沪联产交〔2020〕22号）,1,1
在产权转让过程中，标的企业原股东如何行使优先购买权？,【产权交易】上海联合产权交易所有限公司企业国有产权转让组织交易签约操作细则（沪联产交〔2020〕22号）,1,2
在产权转让信息披露期满后，如果有多个符合条件的意向受让方，联交所将如何组织竞价？,【产权交易】上海联合产权交易所有限公司企业国有产权转让组织交易签约操作细则（沪联产交〔2020〕22号）,1,2
