问题,召回文档标题,真实标题,正确召回,召回位置
公开招标项目中，招标公告和资格预审公告可以同时发布吗？,"['招标公告和公示信息发布管理办法', '公路工程建设项目招标投标管理办法', '财政部关于做好政府采购信息公开工作的通知', '政府采购货物和服务招标投标管理办法', '招标公告和公示信息发布管理办法', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '招标公告和公示信息发布管理办法', '工程建设项目货物招标投标办法', '水运工程建设项目招标投标管理办法', '招标公告和公示信息发布管理办法']",政府采购货物和服务招标投标管理办法,True,3
如果招标文件中没有明确说明是否接受联合体投标，采购人可以拒绝联合体投标吗？,"['工程建设项目施工招标投标办法', '工程建设项目货物招标投标办法', '工程建设项目施工招标投标办法', '政府采购货物和服务招标投标管理办法', '政府采购货物和服务招标投标管理办法', '中华人民共和国招标投标法实施条例', '公路工程建设项目招标投标管理办法', '水运工程建设项目招标投标管理办法', '政府采购货物和服务招标投标管理办法', '工程建设项目货物招标投标办法']",政府采购货物和服务招标投标管理办法,True,3
招标文件中必须包含哪些主要内容？,"['工程建设项目货物招标投标办法', '水利工程建设项目招标投标管理规定', '房屋建筑和市政基础设施工程施工招标投标管理办法', '政府采购货物和服务招标投标管理办法', '上海市建设工程招标投标管理办法', '工程建设项目施工招标投标办法', '中华人民共和国招标投标法实施条例', '水利工程建设项目招标投标管理规定', '工程建设项目货物招标投标办法', '工程建设项目施工招标投标办法']",政府采购货物和服务招标投标管理办法,True,3
编制资格预审文件时，采购人应当考虑哪些因素？,"['政府采购货物和服务招标投标管理办法', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '政府采购非招标采购方式管理办法', '财政部关于做好政府采购信息公开工作的通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '政府采购货物和服务招标投标管理办法', '房屋建筑和市政基础设施工程施工招标投标管理办法', '上海市财政局关于印发《上海市政府采购评审专家和评审工作管理办法》的通知(2018)(附：上海市政府采购评审专家工作纪律)', '政府采购货物和服务招标投标管理办法']",政府采购货物和服务招标投标管理办法,True,0
如果投标截止后只有两家供应商投标，是否可以进行开标？,"['上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '财政部关于政府采购竞争性磋商采购方式管理暂行办法有关问题的补充通知', '财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知', '公路工程建设项目招标投标管理办法', '政府采购非招标采购方式管理办法', '工程建设项目招标投标活动投诉处理办法', '财政部关于进一步规范政府采购评审工作有关问题的通知', '房屋建筑和市政基础设施工程施工招标投标管理办法', '政府采购货物和服务招标投标管理办法', '工程建设项目施工招标投标办法']",政府采购货物和服务招标投标管理办法,True,8
公开招标项目中，如果通过资格审查的投标人不足3家，应该如何处理？,"['上海市建设工程招标投标管理办法', '财政部关于进一步规范政府采购评审工作有关问题的通知', '评标委员会和评标方法暂行规定', '政府采购货物和服务招标投标管理办法', '工程建设项目施工招标投标办法', '公路工程建设项目招标投标管理办法', '公路工程建设项目招标投标管理办法', '政府采购货物和服务招标投标管理办法', '工程建设项目货物招标投标办法', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知']",政府采购货物和服务招标投标管理办法,True,3
开标过程中，投标人代表对开标记录有疑问，应该如何处理？,"['政府采购质疑和投诉办法', '司法部关于印发《招标投标公证程序细则》的通知', '上海市财政局关于印发《上海市电子政府采购管理暂行办法》的通知', '评标委员会和评标方法暂行规定', '工程建设项目招标投标活动投诉处理办法', '水运工程建设项目招标投标管理办法', '政府采购货物和服务招标投标管理办法', '财政部关于进一步规范政府采购评审工作有关问题的通知', '工程建设项目施工招标投标办法', '公路工程建设项目招标投标管理办法']",政府采购货物和服务招标投标管理办法,True,6
如果投标人未参加开标，是否会影响其对开标结果的认可？,"['公路工程建设项目招标投标管理办法', '工程建设项目货物招标投标办法', '公路工程建设项目招标投标管理办法', '评标委员会和评标方法暂行规定', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '工程建设项目施工招标投标办法', '政府采购货物和服务招标投标管理办法', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '工程建设项目施工招标投标办法', '上海市建设工程招标投标管理办法']",政府采购货物和服务招标投标管理办法,True,6
开标结束后，如果合格投标人不足3家，能否进行评标？,"['公路工程建设项目招标投标管理办法', '财政部关于进一步规范政府采购评审工作有关问题的通知', '公路工程建设项目招标投标管理办法', '工程建设项目施工招标投标办法', '政府采购货物和服务招标投标管理办法', '招标拍卖挂牌出让国有土地使用权规范（试行）', '民航局机场司关于印发《民航专业工程建设项目招标投标管理办法》的通知', '上海市建设工程招标投标管理办法', '评标委员会和评标方法暂行规定', '水运工程建设项目招标投标管理办法']",政府采购货物和服务招标投标管理办法,True,4
如果投标人的报价远低于其他投标人，评标委员会会如何处理？,"['评标委员会和评标方法暂行规定', '铁路工程建设项目招标投标管理办法', '评标委员会和评标方法暂行规定', '工程建设项目施工招标投标办法', '政府采购货物和服务招标投标管理办法', '【产权交易】上海联合产权交易所有限公司产权转让招投标实施办法（沪联产交〔2018〕49号）', '公路工程建设项目招标投标管理办法', '政府采购货物和服务招标投标管理办法', '评标委员会和评标方法暂行规定', '公路工程建设项目招标投标管理办法']",政府采购货物和服务招标投标管理办法,True,4
