问题,意图分类,标签真值,提取的实体
医用DR设备都有哪些品牌？,商品数据,商品数据,['医用DR设备，品牌']
动态三维脊柱姿态测量分析装置北京的供应商有哪些品牌？,商品数据,商品数据,['北京，供应商，品牌']
医院住院大楼生活热水系统改造有哪些品牌？,商品数据,商品数据,['医院，生活热水系统改造，品牌']
UPS改造设备的供应商地址在哪里？,商品数据,商品数据,"['UPS', '供应商', '地址']"
步态训练跑台的价格范围是多少？,商品数据,商品数据,['价格范围，跑台']
移动式摄影X线机的供应商省份有哪些？,商品数据,商品数据,['省份']
互联网医院信息化建设的供应商城市有哪些？,政策文件信息,商品数据,['城市，供应商']
医院彩色超声诊断仪的供应商地址是什么？,商品数据,商品数据,['医院，彩色超声诊断仪，供应商，地址']
肿瘤医院冷冻治疗设备有哪些型号？,商品数据,商品数据,['肿瘤医院，冷冻治疗设备，型号']
流式细胞仪的供应商省份是哪里？,商品数据,商品数据,['省份']
医用织物洗涤服务的供应商地址在哪里？,商品数据,商品数据,['医用织物洗涤服务，供应商，地址']
残疾人健康服务平台的供应商省份有哪些？,政策内容,商品数据,['省份']
裸眼康复辅具展示系统的供应商城市是哪里？,商品数据,商品数据,['城市']
医院离心式冷水机的供应商省份有哪些？,商品数据,商品数据,['省份']
口腔锥形束CT的供应商地址是什么？,商品数据,商品数据,['供应商，地址']
UPS应急电源的供应商城市有哪些？,商品数据,商品数据,"['UPS', '供应商', '城市']"
民医院远程诊断服务的供应商地址在哪里？,日常问题,商品数据,['民医院，远程诊断服务，供应商，地址']
上海疾控应急作业平台建设的供应商省份是哪里？,政策文件信息,商品数据,['省份']
上肢康复系统的供应商地址是什么？,商品数据,商品数据,['供应商，地址']
肌肉关节智能运动康复评估训练系统有哪些品牌？,商品数据,商品数据,['肌肉关节智能运动康复评估训练系统，品牌']
智能矫正与经颅磁辅助治疗机器人的供应商城市有哪些？,商品数据,商品数据,['供应商城市']
被服租赁、洗涤的供应商省份有哪些？,商品数据,商品数据,['省份']
医用家具的供应商地址在哪里？,商品数据,商品数据,['医用家具，供应商地址']
医院医疗设备有哪些品牌？,商品数据,商品数据,['医院，医疗设备，品牌']
脉冲染料激光治疗仪的供应商省份是哪里？,商品数据,商品数据,['省份']
病毒测序试剂的供应商城市有哪些？,商品数据,商品数据,"['供应商', '城市']"
污水新冠病毒监测与变异株检测试剂耗材的供应商地址是什么？,商品数据,商品数据,['供应商地址']
放射治疗计划系统的供应商省份有哪些？,政策文件信息,商品数据,['省份']
全自动发药机的供应商地址在哪里？,商品数据,商品数据,['全自动发药机，供应商地址']
医疗设备维修维保外包的供应商城市有哪些？,商品数据,商品数据,['供应商城市']
电子内窥镜主机系统（含一根电子治疗结肠镜）的供应商省份是哪里？,商品数据,商品数据,['省份，供应商']
低强度脉冲式超声波治疗仪的供应商城市有哪些？,商品数据,商品数据,['供应商城市']
学生智能体质体检健康测试设备的供应商地址是什么？,商品数据,商品数据,['供应商，地址']
医院X射线计算机体层摄影设备的供应商省份有哪些？,商品数据,商品数据,['X射线计算机体层摄影设备，供应商，省份']
医院远程探视和远程会诊系统的供应商地址在哪里？,日常问题,商品数据,['医院，远程探视和远程会诊系统，供应商，地址']
无轨迹等张肌力测试康复训练系统的供应商品牌有哪些？,商品数据,商品数据,['供应商品牌']
无轨迹等张肌力测试康复训练系统的价格范围是多少？,商品数据,商品数据,['价格范围，等张肌力测试康复训练系统']
无轨迹等张肌力测试康复训练系统的供应商地址在哪里？,商品数据,商品数据,['供应商，地址']
医院X射线计算机体层摄影设备的品牌有哪些？,商品数据,商品数据,['医院X射线计算机体层摄影设备，品牌']
医院X射线计算机体层摄影设备的型号有哪些？,商品数据,商品数据,['医院，X射线计算机体层摄影设备，型号']
气相色谱分析仪的品牌有哪些？,商品数据,商品数据,['气相色谱分析仪，品牌']
医院X射线计算机体层摄影设备的供应商省份有哪些？,商品数据,商品数据,['X射线计算机体层摄影设备，供应商省份']
太平洋安信农业保险股份有限公司上海分公司中标了哪些保险项目？,招标中标信息,政策文件信息,['太平洋安信农业保险股份有限公司，上海分公司，保险项目']
上海市青浦区朱家角人民医院是否承担了残疾人健康体检项目？,政策内容,政策文件信息,['上海市，青浦区，朱家角人民医院，残疾人健康体检项目']
《电子招标投标办法》的发布时间是什么？,日常问题,政策文件信息,['无']
《工程建设项目货物招标投标办法》的发布时间是什么？,政策文件信息,政策文件信息,['政策文件信息']
《工程建设项目施工招标投标办法》的发布时间是什么？,政策文件信息,政策文件信息,['政策文件信息']
《财政部关于印发《政府采购竞争性磋商采购方式管理暂行办法》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['财政部，《政府采购竞争性磋商采购方式管理暂行办法》']
《金融企业国有资产转让管理办法》的发布时间是什么？,政策文件信息,政策文件信息,['金融企业国有资产转让管理办法，发布时间']
《财政部关于印发《政务信息系统政府采购管理暂行办法》的通知》的发布时间是什么？,政策文件信息,政策文件信息,['政策文件信息，《财政部》，《政务信息系统政府采购管理暂行办法》']
